지역,업종,업소명,주소,전화번호,할인정보,할인유형,위도,경도,업데이트일자,원본파일,데이터유형
경기도 수원시 권선구,일반음식점,두툼돈288세류점,"경기도 수원시 권선구 효원로 82, 103,104,105호(세류동)",,10% 할인 (전 품목),음식점 할인,37.26675206,127.0107642,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 권선구,일반음식점,양치는아저씨1929 세류점,경기도 수원시 권선구 세지로 71(세류동),,20% 할인 (전 품목),음식점 할인,37.25830477,127.017333,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,미용업,김영란헤어,"경기도 수원시 영통구 영통로290번길 23, 상가 가동 1층 102호(영통동, 신나무실주공아파트)",,10% 할인 (커트/펌),미용 할인,37.2517754,127.0622818,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,미용업,댕기머리,"경기도 수원시 영통구 매영로 84, 108호(매탄동,한국아파트2차상가)",,10% 할인 (커트/펌),미용 할인,37.26819506,127.0500482,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,미용업,미스바헤어,"경기도 수원시 영통구 동탄원천로1109번길 37, 112호(매탄동, 한국아파트)",,10% 할인 (커트/펌),미용 할인,37.26957479,127.0569538,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,미용업,송화헤어라인,경기도 수원시 영통구 산남로 41(매탄동),,10% 할인 (커트/펌),미용 할인,37.26668234,127.0490638,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,미용업,오투헤어 광교점,"경기도 수원시 영통구 도청로18번길 26, 힐스테이트광교중앙역 3층 374호(이의동)",,10% 할인 (커트/펌),미용 할인,37.28764094,127.056864,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,미용업,지지고헤어,"경기도 수원시 영통구 반달로7번길 16, 301호(영통동)",,10% 할인 (커트/펌),미용 할인,37.25265457,127.0744001,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,미용업,하's뷰티샵,경기도 수원시 영통구 매영로 52(매탄동),,10% 할인 (커트/펌),미용 할인,37.26877543,127.0482595,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,미용업,화두헤어살롱,"경기도 수원시 영통구 매영로 423, 1층 (영통동)",,30% 할인 (전 품목),미용 할인,37.2488601,127.0777604,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,일반음식점,국일반점,경기도 수원시 영통구 인계로 277(매탄동),,10% 할인 (전 품목),음식점 할인,37.26368143,127.0479064,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,일반음식점,냉삼집,"경기도 수원시 영통구 청명남로28번길 7, 504호(영통동)",,계란찜 무료 제공,음식점 할인,37.25206966,127.0756585,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,일반음식점,노대감감자탕,경기도 수원시 영통구 산남로 2(매탄동),,10% 할인 (감자탕 한정),음식점 할인,37.26388268,127.0471598,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,일반음식점,도봉산갈비,경기도 수원시 영통구 매탄로100번길 7-6(매탄동),,10% 할인 (돼지갈비 한정),음식점 할인,37.2597651,127.043852,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,일반음식점,동해바다,"경기도 수원시 영통구 효원로 397, 10001호(매탄동,중앙프라자)",,10% 할인 (전 품목),음식점 할인,37.25905483,127.0451687,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,일반음식점,번라이스영계,"경기도 수원시 영통구 신원로 304, 3동 3-111호(원천동, 영통이노플렉스2단지)",,10% 할인 (누룽지삼계탕 한정),음식점 할인,37.26219995,127.0610028,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,일반음식점,부부분식,경기도 수원시 영통구 인계로270번길 8(매탄동),,10% 할인 (전 품목),음식점 할인,37.26338351,127.0467151,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,일반음식점,선가,"경기도 수원시 영통구 산남로 8, 2층(매탄동)",,10% 할인 (전 품목),음식점 할인,37.26434364,127.0473344,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,일반음식점,영포화로 영통,"경기도 수원시 영통구 청명남로28번길 20, 105,106호(영통동,플러스타운빌딩)",,10% 할인 (전 품목),음식점 할인,37.25145908,127.0759365,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,일반음식점,윤가네김밥,"경기도 수원시 영통구 청명남로 21, 113호(영통동, 아셈프라자)",,10% 할인 (전 품목),음식점 할인,37.25203331,127.0744641,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,일반음식점,즉석깡우동,"경기도 수원시 영통구 청명남로28번길 2, 107,108호(영통동,아이텐텐빌딩)",,10% 할인 (우동 한정),음식점 할인,37.25190422,127.0752435,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 영통구,일반음식점,황포돛대,"경기도 수원시 영통구 매탄로108번길 16, 107호(매탄동, 엔타운)",,10% 할인 (전 품목),음식점 할인,37.25999362,127.044255,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 장안구,미용업,라인헤어,경기도 수원시 장안구 팔달로291번길 34 (영화동),,20% 할인 (전 품목),미용 할인,37.29199792,127.0153392,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 장안구,미용업,러블리헤어,경기도 수원시 장안구 장안로18번길 14(영화동),,20% 할인 (커트/펌),미용 할인,37.28697003,127.0071813,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 장안구,미용업,소피아리뷰티헤어,경기도 수원시 장안구 덕영대로511번길 37-11(천천동),,10% 할인 (커트/펌),미용 할인,37.29958979,126.9802056,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 장안구,미용업,스타일헤어,경기도 수원시 장안구 경수대로927번길 31 (송죽동),,20% 할인 (전 품목),미용 할인,37.30049446,127.0076938,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 장안구,미용업,아름다운사람들헤어,"경기도 수원시 장안구 송정로 83, 134호 (송정동, 로얄팰리스상가)",,20% 할인 (전 품목),미용 할인,37.29610219,127.0082928,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 장안구,미용업,장은수헤어,경기도 수원시 장안구 조원로90번길 15 (조원동),,20% 할인 (전 품목),미용 할인,37.30154002,127.0163768,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 장안구,일반음식점,완도약산흑염소,"경기도 수원시 장안구 파장천로 133, 1층(파장동)",,10% 할인 (전 품목),음식점 할인,37.31535049,127.0019933,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 장안구,일반음식점,장안아구탕,경기도 수원시 장안구 팔달로279번길 33(영화동),,10% 할인 (전 품목),음식점 할인,37.29123914,127.0140295,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 장안구,일반음식점,카페도피오,경기도 수원시 장안구 연무로42번길 19(연무동),,20% 할인,음식점 할인,37.2959355,127.0273226,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,가르마헤어 본점,"경기도 수원시 팔달구 권광로142번길 43-21, 1층 (인계동)",,30% 할인 (전 품목),미용 할인,37.26023862,127.0333503,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,가르마헤어 수원역점,"경기도 수원시 팔달구 덕영대로 905, 110,111호 (매산로1가, 아이메카상가)",,30% 할인 (전 품목),미용 할인,37.26788737,127.0005672,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,가이아헤어,"경기도 수원시 팔달구 화양로29번길 4, 1층 (화서동)",,10% 할인 (전 품목),미용 할인,37.28073237,126.9968342,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,경살롱,"경기도 수원시 팔달구 효원로 9, 1층(매산로3가)",,20% 할인 (전 품목),미용 할인,37.27263132,127.0096602,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,난영미용실,경기도 수원시 팔달구 세지로314번길 32-3 (지동),,20% 할인 (전 품목),미용 할인,37.27884559,127.0255801,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,동현미용실,"경기도 수원시 팔달구 수원천로249번길 16, 노블래스 1층 105호(영동)",,20% 할인 (전 품목),미용 할인,37.27582282,127.0185265,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,라브리지 헤어살롱,"경기도 수원시 팔달구 권광로 208, 204호(인계동, 인송빌딩)",,30% 할인 (전 품목),미용 할인,37.26588428,127.0339435,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,로데오헤어아트,"경기도 수원시 팔달구 향교로 161, 1층 (중동, 우림빌딩)",,20% 할인 (전 품목),미용 할인,37.27501088,127.0162367,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,명성미용실,경기도 수원시 팔달구 세지로 368 (지동),,20% 할인 (전 품목),미용 할인,37.28307196,127.0267098,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,문희리안헤어,"경기도 수원시 팔달구 동말로 37, 1,2층 (화서동)",,20% 할인 (전 품목),미용 할인,37.27861029,126.9984297,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,미쓰리헤어,"경기도 수원시 팔달구 아주로 9, 2층 (우만동)",,20% 할인 (전 품목),미용 할인,37.2757764,127.0437175,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,박승철헤어스투디오(인계점),"경기도 수원시 팔달구 효원로308번길 16, 113호(인계동, 한화 꿈에그린 파크)",,20% 할인 (전 품목),미용 할인,37.25983454,127.0346294,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,보니타헤어,"경기도 수원시 팔달구 세지로 442, 1층 (우만동)",,20% 할인 (전 품목),미용 할인,37.28747314,127.0326868,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,뷰티헤어칼라,경기도 수원시 팔달구 중부대로34번길 17 (인계동),,20% 할인 (전 품목),미용 할인,37.2744257,127.0206531,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,빨강여우,"경기도 수원시 팔달구 권광로 373, 상가동 207호(우만동, 월드메르디앙 아파트)",,20% 할인 (전 품목),미용 할인,37.28031241,127.0363642,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,살롱드준오,"경기도 수원시 팔달구 덕영대로 902, 2층(매산로1가, 노보텔앰배서더수원)",,20% 할인 (전 품목),미용 할인,37.26848777,126.9991048,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,수아헤어샵,"경기도 수원시 팔달구 효원로60번길 6, 1층 1호 (매산로3가)",,20% 할인 (전 품목),미용 할인,37.26815515,127.0088506,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,안나미장,"경기도 수원시 팔달구 화양로 27, 1층 (화서동)",,20% 할인 (전 품목),미용 할인,37.2805998,126.9971404,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,에피파니 헤어,경기도 수원시 팔달구 월드컵로 297번길 25 (우만동),,10% 할인 (전 품목),미용 할인,37.28440452,127.0342935,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,올림헤어 메이크룸,"경기도 수원시 팔달구 매산로 7, 2층 (매산로1가)",,10% 할인 (전 품목),미용 할인,37.26721686,127.0022672,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,월드헤어로드,경기도 수원시 팔달구 동말로 53 (화서동),,15% 할인 (전 품목),미용 할인,37.27895688,126.9999925,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,유앤미헤어,"경기도 수원시 팔달구 갓매산로 69, 1층(매산로2가)",,20% 할인 (전 품목),미용 할인,37.2696759,127.003227,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,윤미용실,"경기도 수원시 팔달구 매산로 2-10, 1층 80호 (매산로1가)",,20% 할인 (전 품목),미용 할인,37.26629833,127.0023357,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,이영경미용실,경기도 수원시 팔달구 세지로174번길 15-4 (인계동),,20% 할인 (전 품목),미용 할인,37.26677657,127.0229732,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,이태리헤어클럽,경기도 수원시 팔달구 동말로25번길 96 (화서동),,20% 할인 (전 품목),미용 할인,37.28168057,126.9949497,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,인스타헤어 수원역점,"경기도 수원시 팔달구 덕영대로 899 제지하1층,제비101호(매산로1가)",,30% 할인 (전 품목),미용 할인,37.26815558,127.0003156,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,인스타헤어(동수원점),"경기도 수원시 팔달구 경수대로 605, 2층 (지동, 신환빌)",,30% 할인 (전 품목),미용 할인,37.27962222,127.0301822,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,제이스헤어,경기도 수원시 팔달구 수성로182번길 99 (화서동),,10% 할인 (전 품목),미용 할인,37.28283729,126.9942802,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,준오헤어,"경기도 수원시 팔달구 매산로 11, 2층 203호 (매산로1가)",,20% 할인 (전 품목),미용 할인,37.267446,127.0027265,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,지엔느헤어라미,"경기도 수원시 팔달구 향교로 135, 1층(교동)",,20% 할인 (전 품목),미용 할인,37.27304197,127.0146048,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,초이스헤어클럽,"경기도 수원시 팔달구 장다리로306번길 13, 지층 (인계동, 한신상가 )",,10% 할인 (전 품목),미용 할인,37.27394488,127.0312247,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,클라라헤어샵,"경기도 수원시 팔달구 권광로 373, 210호(우만동, 월드메르디앙주상가)",,20% 할인 (전 품목),미용 할인,37.28031241,127.0363642,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,타마시헤어수원역점,"경기도 수원시 팔달구 매산로 22-1, 2층 (매산로2가, 반도빌딩)",,50% 할인 (전 품목),미용 할인,37.26744827,127.0040681,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,타마시헤어스타점,"경기도 수원시 팔달구 중부대로 157, 2층 (우만동, B동)",,30% 할인 (전 품목),미용 할인,37.27814491,127.0335502,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,타마시헤어인계타워점,"경기도 수원시 팔달구 권광로 184, 2층 214,215호 (인계동)",,30% 할인 (전 품목),미용 할인,37.26391294,127.0330892,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,티아라헤어샵,"경기도 수원시 팔달구 고화로 113 (화서동, 1층)",,20% 할인 (전 품목),미용 할인,37.2794709,127.0064697,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,하베스헤어,경기도 수원시 팔달구 창룡대로150번길 70 (우만동),,20% 할인 (전 품목),미용 할인,37.28863826,127.0286118,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,헤어마마,"경기도 수원시 팔달구 향교로 55, 201호 (매산로2가)",,30% 할인 (전 품목),미용 할인,37.26967877,127.0067899,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,헤어바이자르다,"경기도 수원시 팔달구 갓매산로 22, 1층 (매산로3가)",,20% 할인 (전 품목),미용 할인,37.26666644,127.0064686,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,헤어클레스,"경기도 수원시 팔달구 세지로198번길 13, 1층 (인계동)",,20% 할인 (전 품목),미용 할인,37.26873795,127.0237033,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,미용업,화인헤어아트,"경기도 수원시 팔달구 고화로61번길 1, 1층 (고등동)",,10% 할인 (전 품목),미용 할인,37.27476416,127.006103,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,일반음식점,가보정 1관,경기도 수원시 팔달구 장다리로 282 (인계동),,미국산 양념갈비 1인분한정 임신부,음식점 할인,37.27423073,127.0287178,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,일반음식점,가보정 2관,경기도 수원시 팔달구 장다리로 281 (인계동),,미국산 양념갈비 1인분한정 임신부,음식점 할인,37.2744965,127.0281619,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,일반음식점,가츠스시,"경기도 수원시 팔달구 중부대로239번길 5, 205호 (우만동)",,20% 할인 (전 품목),음식점 할인,37.27565581,127.0421742,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,일반음식점,고기랑,경기도 수원시 팔달구 권광로196번길 49 (인계동),,된장찌개 무료 제공,음식점 할인,37.26451253,127.0359001,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
경기도 수원시 팔달구,일반음식점,광명수산 수원역점,"경기도 수원시 팔달구 갓매산로 38, 1층(매산로2가)",,무료 서비스 제공,음식점 할인,37.26787906,127.0056539,2024-06-20,경기도 수원시_임신부배려할인업소_20240620.csv,임신부배려할인업소
